,tweets,likes,location
0,"Kue kueee sapa mau kueeee 🍪
berbukalah dgn joy 😎👍 https://t.co/jRqzBmT3qe",0,Jeje
1,"How yesterday ended 🥰🥰

Having daily sales keeps SAPA away

Thank you @digitstem @Tobi_adebisi_ @CoachKingLeon @Godchaser111 https://t.co/xrukyZ5VzE",1,"Abuja, Nigeria"
2,@JayneCint This garri get sapa inside ooo😂😂😂 make sure say you put eye drop for eye,0,Abuja Nigeria
3,@dammiedammie35 Na sapa cause this one for the guy😭,1,Lagos/Abuja
4,"@yabaleftonline AMP: My God I plead (I beg you, pardon me, help me) Sapa wan finish me",0,Abuja
5,@king_chuka_ Sapa too much 🥹,1,"Abuja, Nigeria"
6,@Folasheycrown22 Sapa! 😄,0,"Abuja, Nigeria"
7,@ComfortEnesi Sapa wea no affect your cheeks👀... Na soft sapa,0,"Abuja, Nigeria"
8,@Naija_PR We get sapa everywhere,0,"Abuja, "
9,"@Prevailer_x Sapa no reach your behind.
Thank God for life🙌🏾",0,"Kogi, Nigeria"
10,"Help me boss please i really need this @DAMIADENUGA 
Sapa hold me and i wan start my business abeg🙏🙏🙏 https://t.co/uGslBWVrZN",1,"Abuja, Nigeria"
11,Sapa twitter no dey? Na that one I dey 😩,1,"Abuja, Nigeria"
12,@MariamAmal2 Shey u sef see say na daddy wa u dey always call me ...if no be Sapa wey dey hold my neck I suppose Don stop born pikin by now,0,close to fame
13,@itsSh0la King of sapa Ahbi which other king wey I be 😫🙏,2,"Abuja, Nigeria"
14,@Sparco_gb1 Sapa ti fe pami 😭😭😭😭😭 https://t.co/ZqAdVI99Ev,1,"Abuja, Nigeria"
15,@Folasheycrown22 Sapa nice one,0,Abuja
16,@TalentedFBG Happy ke. Untop sapa,0,"Abuja, Nigeria"
17,@Folasheycrown22 Sapa,0,"Abuja, Nigeria"
18,Sapa dey actually teach person sense,2,"Abuja, Nigeria"
19,@Zahra_ibraheeem Sapa go make person think nice 😂😂😂,0,"Nasarawa, Nigeria"
20,"Immediately I type ""wallahi"" the next thing I see on my keyboard suggestion is ""banda kudi"" sapa nice one 😂💔",31,"Abuja, Nigeria"
21,@MyFundedFX No greater catalyst than SAPA,4,"Jos, Nigeria"
22,@pinky_stephen Nah sapa dey make persin dance when dey see food,0,Abuja Nigeria
23,Sapa?,1,"Abuja, Nigeria"
24,anjeeer ko ada johnny prev sapa,0,Jeje
25,Sapa nice one https://t.co/FuUUpl6Q2F,0,"Abuja, Nigeria"
26,"@Oluwaphickayomi Shege pro max

Proudly sponsored by MTN(everywhere you go) and SAPA😢",0,Abuja 
27,@Sparco_gb1 Sapa https://t.co/M45LTUuWAV,0,"Abuja, Nigeria"
28,@Naija_PR SUPER Buhari SAPA,0,"Abuja, Nigeria"
29,@Sparco_gb1 Sapa history 🥲 https://t.co/Cf83cKVL1l,1,"Abuja, Nigeria"
30,"@NastyBlaq Anything to fight Sapa
8185866713
Opay
Moses",0,abuja
31,@Naija_PR Sapa sapanize me,0,"Abuja, Nigeria"
32,@MaryamTijjni Except shege or sapa na our friend😂😂,0,"Jos, Nigeria"
33,@danjuma1232 SAPA,0,"Abuja, Nigeria"
34,@Naija_PR Sapa hold me,0,Abuja
35,@_dinomelaye Dino with sapa 5-6 back then,0,"Abuja, Nigeria"
36,GOD PUNISH SAPA 😂,1,"Abuja, Nigeria"
37,SAPA 😂,0,"Abuja, Nigeria"
38,@Odumodublvck_ SAPA 😂,1,"Abuja, Nigeria"
39,"@muizthekidd Two eggs!!
Ur sapa get levels!😄",0,"Jos, Plateau state"
